Year,Week,Need State,Dc Amount,Store Amt On Hand,Date
2022,4,Need State 4,928840.5,1952948.25,2022-01-24
2022,4,Need State 5,178992.0,844506.75,2022-01-24
2022,4,Need State 6,1262213.25,2353557.0,2022-01-24
2022,5,Need State 1,1809055.5,4080468.75,2022-01-31
2022,5,Need State 2,648354.0,2575325.25,2022-01-31
2022,5,Need State 3,1203952.5,3723685.5,2022-01-31
2022,5,Need State 4,824669.25,2042387.25,2022-01-31
2022,5,Need State 5,231534.75,840153.75,2022-01-31
2022,5,Need State 6,1408445.25,2423676.0,2022-01-31
2022,6,Need State 1,1737505.5,4045948.5,2022-02-07
2022,6,Need State 2,627284.25,2542923.75,2022-02-07
2022,6,Need State 3,1496976.0,3713264.25,2022-02-07
2022,6,Need State 4,1041308.25,2017749.75,2022-02-07
2022,6,Need State 5,225524.25,834605.25,2022-02-07
2022,6,Need State 6,1258310.25,2383083.0,2022-02-07
2022,7,Need State 1,1792991.25,3863763.0,2022-02-14
2022,7,Need State 2,766714.5,2430100.5,2022-02-14
2022,7,Need State 3,1586227.5,3590558.25,2022-02-14
2022,7,Need State 4,948331.5,1977548.25,2022-02-14
2022,7,Need State 5,204607.5,786064.5,2022-02-14
2022,7,Need State 6,1213172.25,2360500.5,2022-02-14
2022,8,Need State 1,1737123.0,4018358.25,2022-02-21
2022,8,Need State 2,657087.75,2478526.5,2022-02-21
2022,8,Need State 3,1194807.0,3721557.75,2022-02-21
2022,8,Need State 4,911358.0,2051508.75,2022-02-21
2022,8,Need State 5,193338.0,793143.0,2022-02-21
2022,8,Need State 6,1109968.5,2372595.75,2022-02-21
2022,9,Need State 1,2300770.5,4198659.75,2022-02-28
2022,9,Need State 2,687194.25,2451921.0,2022-02-28
2022,9,Need State 3,1201031.25,3860166.0,2022-02-28
2022,9,Need State 4,957188.25,1996818.0,2022-02-28
2022,9,Need State 5,200004.0,776436.0,2022-02-28
2022,9,Need State 6,1485303.0,2287695.75,2022-02-28
2022,10,Need State 1,3368703.75,4237740.75,2022-03-07
2022,10,Need State 2,688646.25,2446062.75,2022-03-07
2022,10,Need State 3,1179682.5,3869143.5,2022-03-07
2022,10,Need State 4,991293.0,2058103.5,2022-03-07
2022,10,Need State 5,686337.0,758295.0,2022-03-07
2022,10,Need State 6,1825563.0,2241596.25,2022-03-07
2022,11,Need State 1,3815302.5,4206561.0,2022-03-14
2022,11,Need State 2,696391.5,2479667.25,2022-03-14
2022,11,Need State 3,1152363.75,3787143.75,2022-03-14
2022,11,Need State 4,879493.5,2037232.5,2022-03-14
2022,11,Need State 5,811782.0,714885.0,2022-03-14
2022,11,Need State 6,1877154.0,2207578.5,2022-03-14
2022,12,Need State 1,3192620.25,4200300.75,2022-03-21
2022,12,Need State 2,786270.0,2456478.0,2022-03-21
2022,12,Need State 3,1170600.75,3728396.25,2022-03-21
2022,12,Need State 4,700431.75,1957279.5,2022-03-21
2022,12,Need State 5,760760.25,746764.5,2022-03-21
2022,12,Need State 6,1897170.75,2230218.75,2022-03-21
2022,13,Need State 1,4098109.5,4931589.0,2022-03-28
2022,13,Need State 2,750130.5,2450426.25,2022-03-28
2022,13,Need State 3,1157227.5,3695260.5,2022-03-28
2022,13,Need State 4,822378.75,1985205.0,2022-03-28
2022,13,Need State 5,1521032.25,1200894.0,2022-03-28
2022,13,Need State 6,1942269.0,2263941.0,2022-03-28
2022,14,Need State 1,4751574.0,4873329.0,2022-04-04
2022,14,Need State 2,778464.75,2405337.75,2022-04-04
2022,14,Need State 3,1319388.75,3686928.75,2022-04-04
2022,14,Need State 4,827025.0,1925391.0,2022-04-04
2022,14,Need State 5,2214831.0,1252852.5,2022-04-04
2022,14,Need State 6,2494069.5,2344998.75,2022-04-04
2022,15,Need State 1,4823778.0,4787475.0,2022-04-11
2022,15,Need State 2,654268.5,2342972.25,2022-04-11
2022,15,Need State 3,1152492.75,3681702.0,2022-04-11
2022,15,Need State 4,614841.75,1808111.25,2022-04-11
2022,15,Need State 5,1650714.0,1527018.0,2022-04-11
2022,15,Need State 6,2352318.75,2357904.0,2022-04-11
2022,16,Need State 1,4390458.75,4729499.25,2022-04-18
2022,16,Need State 2,601455.0,2368101.0,2022-04-18
2022,16,Need State 3,1056108.75,3648184.5,2022-04-18
2022,16,Need State 4,624639.75,1719077.25,2022-04-18
2022,16,Need State 5,1631232.75,2282793.75,2022-04-18
2022,16,Need State 6,2580547.5,2452368.0,2022-04-18
2022,17,Need State 1,4328567.25,5323525.5,2022-04-25
2022,17,Need State 2,634131.75,2377780.5,2022-04-25
2022,17,Need State 3,1283388.75,3688877.25,2022-04-25
2022,17,Need State 4,694266.75,1666168.5,2022-04-25
2022,17,Need State 5,1604514.0,2383749.0,2022-04-25
2022,17,Need State 6,2457244.5,2665329.0,2022-04-25
